,product_name,product_url,product_price,reviews,ratings
0,American Tourister Casual Backpack  ,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,₹999,"39,101",4.1 out of 5 stars
1,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy)  ,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,₹689,"9,781",3.9 out of 5 stars
2,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB)  ,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,₹299,"13,418",4.0 out of 5 stars
3,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND )  ",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,₹689,224,3.9 out of 5 stars
4,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port  ",https://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP,₹499,"8,165",3.9 out of 5 stars
5,Northzone Lightweight School Bags Backpacks for Boys Girls Stylish Men and Women Casual Travel Laptop Bag College Office (Navy Blue) 40L  ,https://www.amazon.in/Northzone-Polyester-School-Backpack-Compartment/dp/B08678P2T7,₹625,"2,859",4.0 out of 5 stars
6,Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black)  ,https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW,₹599,"3,286",4.1 out of 5 stars
7,Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port and Water Resistant Fabric  ,https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY,₹799,"10,512",4.0 out of 5 stars
8,Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack  ,https://www.amazon.in/Fur-Jaden-Rucksack-Backpack-BM43_Blue/dp/B07PS38XSP,₹249,"5,932",3.6 out of 5 stars
9,ADISA Laptop Backpack 31 Ltrs  ,https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC,₹599,"7,126",4.0 out of 5 stars
10,Gear Classic Anti Theft Faux Leather 18 inch 48 cms Brown Laptop Backpack (LBPCLSLTH0201)  ,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,₹989,"3,981",4.4 out of 5 stars
11,Wooum 15.6 inch Laptop Bag Backpack Fashion Rucksack Casual Student School Bag Computer Bag College Bag Office Bag Business Bag Unisex Travel Backpack  ,https://www.amazon.in/Backpack-Fashion-Computer-Business-Black-BlueZip/dp/B08R7J19R8,₹449,"1,158",4.0 out of 5 stars
12,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty  ,https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ5XY31,₹954,"6,125",3.9 out of 5 stars
13,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty  ,https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ,₹899,"6,125",3.9 out of 5 stars
14,"POLESTAR Vintage 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, suitable for both men & women,1 year warranty  ",https://www.amazon.in/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9,₹619,"5,601",4.0 out of 5 stars
15,"AirCase C30 13.3 Inch/14 Inch/15.6 Inch Messenger Laptop Bag with Shoulder Strap, Water resistant, Multi Utility Compartments for all All iPad/Tablet (Black)  ",https://www.amazon.in/AirCase-C30-Messenger-Compartments-Multi-Pockets/dp/B07V47HHRG,"₹1,472",856,4.0 out of 5 stars
16,American Tourister Casual Backpack  ,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,₹999,"39,101",4.1 out of 5 stars
17,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy)  ,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,₹689,"9,781",3.9 out of 5 stars
18,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB)  ,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,₹299,"13,418",4.0 out of 5 stars
19,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND )  ",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,₹689,224,3.9 out of 5 stars
20,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port  ",https://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP,₹499,"8,165",3.9 out of 5 stars
21,Northzone Lightweight School Bags Backpacks for Boys Girls Stylish Men and Women Casual Travel Laptop Bag College Office (Navy Blue) 40L  ,https://www.amazon.in/Northzone-Polyester-School-Backpack-Compartment/dp/B08678P2T7,₹625,"2,859",4.0 out of 5 stars
